setting,files,cluster_purity,hungarian_accuracy,adjusted_rand_index,avg_predicted_clusters,avg_true_emitters
ablation_4_emitters,1000,0.648865,0.559495,0.383945,5.181000,4.000000
emitters_2,1000,0.847100,0.794587,0.574593,2.323000,2.000000
emitters_4,1000,0.635261,0.555465,0.375198,4.933000,4.000000
emitters_6,1000,0.529743,0.463867,0.284064,6.409000,6.000000
noise_lambda_0.2,1000,0.795858,0.612218,0.449253,6.306000,3.000000
noise_lambda_0.5,1000,0.727587,0.652409,0.470316,3.744000,3.000000
noise_lambda_0.8,1000,0.653280,0.621616,0.404267,2.689000,3.000000
noise_lambda_1.0,1000,0.593911,0.573193,0.321084,2.340000,3.000000
pulse_loss_0.0,1000,0.730215,0.629457,0.445132,4.523000,3.000000
pulse_loss_0.1,1000,0.721537,0.647647,0.463796,3.683000,3.000000
pulse_loss_0.2,1000,0.713232,0.663469,0.480775,3.146000,3.000000
pulse_loss_0.3,1000,0.700914,0.665764,0.479042,2.858000,3.000000
