setting,loss,precision,recall,f1,iou,positive_ratio_pred,positive_ratio_target
ablation_4_emitters,1.131842,0.733499,0.710685,0.721385,0.564502,0.282569,0.291164
emitters_2,1.626181,0.896503,0.679517,0.772143,0.629578,0.388668,0.511125
emitters_4,1.101531,0.729093,0.724125,0.726216,0.570477,0.290817,0.292406
emitters_6,0.971391,0.634940,0.757411,0.690370,0.527492,0.262017,0.219260
noise_lambda_0.2,2.514132,0.809713,0.474264,0.597412,0.426321,0.226566,0.385310
noise_lambda_0.5,1.269228,0.797245,0.702229,0.746043,0.595629,0.323798,0.366553
noise_lambda_0.8,0.924049,0.756357,0.821525,0.786895,0.649593,0.381651,0.350172
noise_lambda_1.0,0.912011,0.728244,0.840472,0.779434,0.639678,0.394874,0.340545
pulse_loss_0.0,1.422030,0.799438,0.679099,0.733754,0.580054,0.333344,0.391408
pulse_loss_0.1,1.269225,0.797137,0.702703,0.746372,0.596033,0.323828,0.366474
pulse_loss_0.2,1.182435,0.790095,0.725896,0.756064,0.608439,0.332250,0.360864
pulse_loss_0.3,1.096110,0.779438,0.751518,0.764534,0.619555,0.342217,0.353925
